loan_amnt,funded_amnt,pub_rec,mo_sin_old_rev_tl_op,inq_last_6mths,num_actv_bc_tl,num_actv_rev_tl,open_act_il,revol_bal,total_rev_hi_lim,int_rate
21000,21000,0,255,2,3,3,4,2472,39700,15.02
25000,25000,0,227,0,6,11,0,43749,54554,20.89
1000,1000,0,167,1,3,4,1,7233,40100,8.19
16000,16000,0,142,0,5,12,5,14270,16300,20.89
21000,21000,0,153,1,5,12,5,14270,16300,12.4
10000,10000,0,37,2,5,12,5,14270,16300,20.89
7500,7500,0,155,1,5,12,5,14270,16300,11.31
30000,30000,0,107,0,5,12,5,14270,16300,20.89
3775,3775,0,64,0,5,12,5,14270,16300,20.89
5600,5600,0,147,0,5,12,5,14270,16300,20.89
6000,6000,0,190,2,5,12,5,14270,16300,20.89
16000,16000,0,,0,5,12,5,14270,16300,20.89
15000,15000,0,83,0,5,12,5,14270,16300,20.89
21000,21000,0,120,0,5,12,5,14270,16300,20.89
25000,25000,0,7,0,5,12,5,14270,16300,20.89
1000,1000,0,187,0,5,12,5,14270,16300,20.89
16000,16000,0,83,3,5,12,5,14270,16300,20.89
12000,16200,1,147,0,5,12,5,14270,16300,13.79
27000,16400,0,16,0,5,12,5,14270,16300,12.39
23000,16600,0,168,0,5,12,5,14270,16300,10.99
38000,16800,0,20,0,5,12,5,14270,16300,9.59
34000,17000,0,97,0,5,12,5,14270,16300,8.19
49000,17200,0,12,0,5,12,5,14270,16300,6.79
45000,17400,0,84,2,5,12,5,14270,16300,5.39
60000,17600,0,166,1,5,12,5,14270,16300,3.99
56000,17800,0,203,0,5,12,5,14270,16300,2.59
71000,18000,0,152,0,5,12,5,14270,16300,1.19
67000,18200,0,221,1,5,12,5,14270,16300,1.29
82000,18400,0,77,1,5,12,5,14270,16300,1.28
78000,18600,0,135,1,5,12,5,14270,16300,1.27
93000,18800,0,128,0,5,12,5,14270,16300,1.26
89000,19000,0,179,0,5,12,5,14270,16300,1.25
104000,19200,0,152,0,5,12,5,14270,16300,1.24
100000,19400,0,117,0,5,12,5,14270,16300,1.23
115000,19600,1,106,0,5,12,5,14270,16300,1.22
111000,19800,0,229,0,5,12,5,14270,16300,1.21
126000,20000,0,129,0,5,12,5,14270,16300,1.2
122000,20200,0,148,0,5,12,5,14270,16300,1.19
137000,20400,0,75,0,5,12,5,14270,16300,1.18
133000,20600,0,22,0,5,12,5,14270,16300,1.17
148000,20800,0,28,1,5,12,5,14270,16300,1.16
144000,21000,1,108,1,5,12,5,14270,16300,20.89
159000,21200,0,36,0,5,12,5,14270,16300,20.89
155000,21400,1,53,0,5,12,5,14270,16300,20.89
170000,21600,0,185,0,5,12,5,14270,16300,20.89
166000,21800,1,131,0,5,12,5,14270,16300,20.89
181000,22000,0,121,0,5,12,5,14270,16300,20.89
177000,22200,0,178,0,5,12,5,14270,16300,20.89
192000,22400,0,58,1,5,12,5,14270,16300,20.89
188000,22600,0,333,1,5,12,5,14270,16300,20.89
203000,22800,0,148,0,5,12,5,14270,16300,20.89
199000,23000,0,129,0,5,12,5,14270,16300,20.89
214000,23200,0,51,0,5,12,5,14270,16300,20.89
210000,23400,0,134,0,5,12,5,14270,16300,20.89
225000,23600,0,136,1,5,12,5,14270,16300,20.89
221000,23800,0,141,0,5,12,5,14270,16300,20.89
236000,24000,0,60,0,5,12,5,14270,16300,20.89
232000,24200,1,54,0,5,12,5,14270,16300,20.89
247000,24400,0,127,0,5,12,5,14270,16300,20.89
243000,24600,0,16,0,5,12,5,14270,16300,20.89
258000,24800,0,187,1,5,12,5,14270,16300,20.89
254000,25000,0,103,0,5,12,5,14270,16300,20.84
269000,25200,0,110,0,5,12,5,14270,16300,20.79
265000,25400,0,105,0,5,12,5,14270,16300,20.74
280000,25600,1,,0,5,12,5,14270,16300,20.69
276000,25800,0,126,1,5,12,5,14270,16300,20.64
291000,26000,0,66,0,5,12,5,14270,16300,20.59
287000,26200,0,133,0,5,12,5,14270,16300,20.54
302000,26400,0,198,1,5,12,5,14270,16300,20.49
298000,26600,0,,0,5,12,5,14270,16300,20.44
313000,26800,0,6,1,5,12,5,14270,16300,20.39
309000,27000,1,154,0,5,12,5,14270,16300,20.34
324000,27200,0,148,0,5,12,5,14270,16300,20.88
320000,27400,0,104,0,5,12,5,14270,16300,20.88
335000,27600,1,149,1,5,12,5,14270,16300,20.88
331000,27800,0,,1,5,12,5,14270,16300,20.88
346000,28000,0,170,1,5,12,5,14270,16300,20.87
342000,28200,0,147,0,5,12,5,14270,16300,20.86
357000,28400,0,178,0,5,12,5,14270,16300,20.85
353000,28600,0,108,1,5,12,5,14270,16300,20.84
368000,28800,0,154,0,5,12,5,14270,16300,20.83
364000,29000,0,73,0,5,12,5,14270,16300,20.82
379000,29200,1,162,0,5,12,5,14270,16300,20.81
375000,29400,0,143,0,5,12,5,14270,16300,20.8
390000,29600,0,118,1,5,12,5,14270,16300,20.79
386000,29800,0,136,1,5,12,5,14270,16300,20.78
401000,30000,0,76,0,5,12,5,14270,16300,20.77
397000,30200,1,61,0,5,12,5,14270,16300,20.76
412000,30400,0,135,2,5,12,5,14270,16300,20.75
408000,30600,0,106,0,5,12,5,14270,16300,20.74
423000,30800,1,112,1,5,12,5,14270,16300,20.73
419000,31000,0,107,1,5,12,5,14270,16300,20.72
434000,31200,0,130,0,5,12,5,14270,16300,20.71
430000,31400,0,142,0,5,12,5,14270,16300,20.7
445000,31600,0,102,0,5,12,5,14270,16300,20.69
441000,31800,1,258,0,5,12,5,14270,16300,20.68
456000,32000,0,77,0,5,12,5,14270,16300,20.67
452000,32200,0,189,0,5,12,5,14270,16300,20.66
467000,32400,0,111,0,5,12,5,14270,16300,20.65
463000,32600,0,118,0,5,12,5,14270,16300,20.64
478000,32800,0,136,0,5,12,5,14270,16300,20.63
474000,33000,1,,0,5,12,5,14270,16300,20.62
489000,33200,1,143,0,5,12,5,14270,16300,20.61
485000,33400,0,153,0,5,12,5,14270,16300,20.6
500000,33600,0,154,0,5,12,5,14270,16300,20.59
496000,33800,0,125,1,5,12,5,14270,16300,20.58
511000,34000,0,224,0,5,12,5,14270,16300,20.57
507000,34200,0,108,1,5,12,5,14270,16300,20.56
522000,34400,0,120,0,5,12,5,14270,16300,20.55
518000,34600,0,129,0,5,12,5,14270,16300,20.54
533000,34800,0,133,0,5,12,5,14270,16300,20.53
529000,35000,0,158,0,5,12,5,14270,16300,20.52
544000,35200,0,18,1,5,12,5,14270,16300,20.51
540000,35400,0,131,1,5,12,5,14270,16300,20.5
555000,35600,0,164,1,5,12,5,14270,16300,20.49
551000,35800,0,232,0,5,12,5,14270,16300,20.48
566000,36000,0,227,0,5,12,5,14270,16300,20.47
562000,36200,0,174,0,5,12,5,14270,16300,20.46
577000,36400,1,47,0,5,12,5,14270,16300,20.45
573000,36600,1,173,1,5,12,5,14270,16300,20.44
588000,36800,0,34,0,5,12,5,14270,16300,20.43
584000,37000,0,130,0,5,12,5,14270,16300,20.42
599000,37200,0,45,0,5,12,5,14270,16300,20.41
595000,37400,0,108,0,5,12,5,14270,16300,20.4
610000,37600,1,135,1,5,12,5,14270,16300,20.39
606000,37800,1,82,0,5,12,5,14270,16300,20.38
621000,38000,0,129,1,5,12,5,14270,16300,20.37
617000,38200,0,89,0,5,12,5,14270,16300,20.36
632000,38400,0,129,1,5,12,5,14270,16300,20.35
628000,38600,0,146,1,5,12,5,14270,16300,20.34
643000,38800,0,132,1,5,12,5,14270,16300,20.33
639000,39000,0,95,2,5,12,5,14270,16300,20.32
654000,39200,0,164,0,5,12,5,14270,16300,20.31
650000,39400,0,110,0,5,12,5,14270,16300,20.3
665000,39600,0,82,0,5,12,5,14270,16300,20.29
661000,39800,0,221,0,5,12,5,14270,16300,20.28
676000,40000,0,121,0,5,12,5,14270,16300,20.27
672000,40200,0,214,1,5,12,5,14270,16300,20.26
687000,40400,0,118,0,5,12,5,14270,16300,20.25
683000,40600,1,60,1,5,12,5,14270,16300,20.24
698000,40800,0,154,0,5,12,5,14270,16300,20.23
694000,41000,0,234,0,5,12,5,14270,16300,20.22
709000,41200,0,175,0,5,12,5,14270,16300,20.21
705000,41400,0,134,0,5,12,5,14270,16300,20.2
720000,41600,0,145,0,5,12,5,14270,16300,20.19
716000,41800,0,168,0,5,12,5,14270,16300,20.18
731000,42000,0,130,0,5,12,5,14270,16300,20.17
727000,42200,1,59,0,5,12,5,14270,16300,20.16
742000,42400,0,105,0,5,12,5,14270,16300,20.15
738000,42600,0,159,2,5,12,5,14270,16300,20.14
753000,42800,0,143,1,5,12,5,14270,16300,20.13
749000,43000,0,131,1,5,12,5,14270,16300,20.12
764000,43200,0,32,0,5,12,5,14270,16300,20.11
760000,43400,0,7,1,5,12,5,14270,16300,20.1
775000,43600,0,24,0,5,12,5,14270,16300,20.09
771000,43800,0,184,1,5,12,5,14270,16300,20.08
786000,44000,0,,0,5,12,5,14270,16300,20.07
782000,44200,0,115,0,5,12,5,14270,16300,20.06
797000,44400,0,194,0,5,12,5,14270,16300,20.05
793000,44600,0,323,0,5,12,5,14270,16300,20.04
808000,44800,0,149,1,5,12,5,14270,16300,20.03
804000,45000,0,154,0,5,12,5,14270,16300,20.02
819000,45200,0,157,0,5,12,5,14270,16300,20.01
815000,45400,0,124,0,5,12,5,14270,16300,20
830000,45600,0,119,0,5,12,5,14270,16300,19.99
826000,45800,0,17,2,5,12,5,14270,16300,19.98
841000,46000,0,154,0,5,12,5,14270,16300,19.97
837000,46200,0,142,0,5,12,5,14270,16300,19.96
852000,46400,0,157,0,5,12,5,14270,16300,19.95
848000,46600,0,,1,5,12,5,14270,16300,19.94
863000,46800,0,149,0,5,12,5,14270,16300,19.93
859000,47000,0,167,0,5,12,5,14270,16300,19.92
874000,47200,0,143,0,5,12,5,14270,16300,19.91
870000,47400,0,117,0,5,12,5,14270,16300,19.9
885000,47600,1,129,1,5,12,5,14270,16300,19.89
881000,47800,0,13,0,5,12,5,14270,16300,19.88
896000,48000,0,124,2,5,12,5,14270,16300,19.87
892000,48200,0,26,0,5,12,5,14270,16300,19.86
907000,48400,0,126,0,5,12,5,14270,16300,19.85
903000,48600,1,123,2,5,12,5,14270,16300,19.84
918000,48800,0,30,1,5,12,5,14270,16300,19.83
914000,49000,0,178,0,5,12,5,14270,16300,19.82
929000,49200,0,129,0,5,12,5,14270,16300,19.81
925000,49400,0,195,1,5,12,5,14270,16300,19.8
940000,49600,0,143,0,5,12,5,14270,16300,19.79
936000,49800,1,251,0,5,12,5,14270,16300,19.78
951000,50000,0,129,0,5,12,5,14270,16300,19.77
947000,50200,0,70,0,5,12,5,14270,16300,19.76
962000,50400,0,145,0,5,12,5,14270,16300,19.75
958000,50600,0,130,0,5,12,5,14270,16300,19.74
973000,50800,0,142,0,5,12,5,14270,16300,19.73
969000,51000,0,102,0,5,12,5,14270,16300,19.72
984000,51200,0,109,1,5,12,5,14270,16300,19.71
980000,51400,0,250,0,5,12,5,14270,16300,19.7
995000,51600,0,110,0,5,12,5,14270,16300,19.69
991000,51800,0,138,3,5,12,5,14270,16300,19.68
1006000,52000,0,141,0,5,12,5,14270,16300,19.67
1002000,52200,0,119,0,5,12,5,14270,16300,19.66
1017000,52400,0,165,0,5,12,5,14270,16300,19.65
1013000,52600,0,141,3,5,12,5,14270,16300,19.64
1028000,52800,0,189,0,5,12,5,14270,16300,19.63
1024000,53000,0,131,0,5,12,5,14270,16300,19.62
1039000,53200,0,93,2,5,12,5,14270,16300,19.61
1035000,53400,0,107,2,5,12,5,14270,16300,19.6
1050000,53600,0,124,1,5,12,5,14270,16300,19.59
1046000,53800,0,98,0,5,12,5,14270,16300,19.58
1061000,54000,0,170,1,5,12,5,14270,16300,19.57
1057000,54200,1,157,1,5,12,5,14270,16300,19.56
1072000,54400,0,154,0,5,12,5,14270,16300,19.55
1068000,54600,1,132,0,5,12,5,14270,16300,19.54
1083000,54800,0,175,0,5,12,5,14270,16300,19.53
1079000,55000,0,158,1,5,12,5,14270,16300,19.52
1094000,55200,0,179,0,5,12,5,14270,16300,19.51
1090000,55400,0,131,0,5,12,5,14270,16300,19.5
1105000,55600,0,26,1,5,12,5,14270,16300,19.49
1101000,55800,0,125,2,5,12,5,14270,16300,19.48
1116000,56000,0,93,2,5,12,5,14270,16300,19.47
1112000,56200,1,146,0,5,12,5,14270,16300,19.46
1127000,56400,0,160,0,5,12,5,14270,16300,19.45
1123000,56600,1,142,2,5,12,5,14270,16300,19.44
1138000,56800,0,122,0,5,12,5,14270,16300,19.43
1134000,57000,0,218,1,5,12,5,14270,16300,19.42
1149000,57200,0,140,0,5,12,5,14270,16300,19.41
1145000,57400,0,69,1,5,12,5,14270,16300,19.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
